callsign,mmsi,position,heading,sog,cog,rot,length,width,draught,eta,theme,shiptype,imo,timestamp,destination,id,radarid,referenceid,name,navstatus,bow,stern,port,starboard
null,635950702,"(54.0102016666667,7.57346)",252,17.2999992370605,252.5,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841184,,,,,,,,
null,635950702,"(54.0102016666667,7.57346)",252,17.2999992370605,252.5,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841185,,,,,,,,
null,212487000,"(53.3521666666667,7.20816666666667)",31,0,90,-120,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841186,,,,,,,,
null,212487000,"(53.3521666666667,7.20816666666667)",31,0,90,-120,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841187,,,,,,,,
null,218197000,"(53.5382383333333,8.163795)",27,0,90,-360,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841188,,,,,,,,
null,218197000,"(53.5382383333333,8.163795)",27,0,90,-360,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841189,,,,,,,,
null,211417464,"(53.501995,7.09645833333333)",36,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841190,,,,,,,,
null,211626000,"(53.5026233333333,7.09783333333333)",511,0,90,-7620,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841191,,,,,,,,
null,211656484,"(53.519005,8.57716833333333)",511,0,90,-7620,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841192,,,,,,,,
null,211656484,"(53.519005,8.57716833333333)",511,0,90,-7620,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841193,,,,,,,,
null,305335000,"(53.8679866666667,7.28631333333333)",511,8.30000019073486,75.9,-7620,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841194,,,,,,,,
null,211217174,"(53.5619366666667,8.558665)",103,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841195,,,,,,,,
null,211217174,"(53.5619366666667,8.558665)",103,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841196,,,,,,,,
null,211457954,"(53.5168616666667,8.57532166666667)",511,0,90,-7620,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841197,,,,,,,,
null,211310100,"(53.70969,7.81072666666667)",129,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841198,,,,,,,,
null,211310100,"(53.70969,7.81072666666667)",129,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841199,,,,,,,,
null,211398884,"(54.0017333333333,8.18402)",85,0.600000023841858,41.6,7620,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841200,,,,,,,,
null,211398884,"(54.0017333333333,8.18402)",85,0.600000023841858,41.6,7620,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841201,,,,,,,,
null,211232640,"(53.5974816666667,8.35554666666667)",208,0,90,0,-1,-1,-1,1970-01-01 01:00:00+01,AIS,DryCargo,0,2017-02-10 14:21:52+01,"",132841202,,,,,,,,
